"Pre built s4.2241967210614","Pre built site themes","3R Computersss","Generic","SI-L1","","TH","size    :colour  :material:brand  :","","B795290653","3R Computersss","raaspi"
"Portfolio /5.546309268099","Portfolio /Generic/Consulting","3R Computersss","Portfolio","SI-D","Pre built s4.2241967210614","TH","Generic/Consulting","Use it for any site to showcase your portfolio.","B-564158523","3R Computersss","raaspi"
"Generic /si6.715-1463344829","Generic /single page iconic","3R Computersss","single page iconic","SI-D","Pre built s4.2241967210614","TH","size    :colour  :material:brand  :","Single page site avoids page loading delay and better for mobile targeted sites. Page design using icons and less text is the current trend.","B1539008924","3R Computersss","raaspi"
"Agency /Gen50.94-1028397090","Agency /Generic/Agency","3R Computersss","Nature","SI-D","Pre built s4.2241967210614","TH","Generic/Agency","A generic theme under the Nature series and can be used as the base for any Agency site","B1987041908","3R Computersss","raaspi"
"News /Gener6.076-2020111799","News /Generic/News Forum","3R Computersss","Nature","SI-D","Pre built s4.2241967210614","TH","Generic/News Forum","A theme which can be used as a template for a social media or community news forum.","B-854994748","3R Computersss","raaspi"
"Consulting 2.4141737696115","Consulting /Generic/Consulting","3R Computersss","Nature","SI-D","Pre built s4.2241967210614","TH","Generic/Consulting","A nature series theme meant for small sized consulting company","B-1174623044","3R Computersss","raaspi"
"ERP (Manufa6.354-1765137116","ERP (Manufacturing) /Generic/ERP","3R Computersss","Nature","SI-D","Pre built s4.2241967210614","TH","Generic/ERP","A theme suitable for a manufacturing company or company using ERP  ","B100884500","3R Computersss","raaspi"
"Retail /Bak2.235-1902276769","Retail /Bakery/Business","3R Computersss","Nature","SI-D","Pre built s4.2241967210614","TH","Bakery/Business","A custom theme for a bakery business under the Nature series","B-1877483204","3R Computersss","raaspi"
"Forum /Gene0.2231211878492","Forum /Generic/Users Forum","3R Computersss","Nature","SI-D","Pre built s4.2241967210614","TH","Generic/Users Forum","meant for user's forum like a consumer forum or software issues forim. ","B713942303","3R Computersss","raaspi"
"School /Lea9.102-1610296856","School /Learning Center/Agency","3R Computersss","Nature","SI-D","Pre built s4.2241967210614","TH","Learning Center/Agency","suitable for learning centres or agencies offering trade training","B1061399487","3R Computersss","raaspi"
